url,title,property type,property size,parking,lift,floor,price,service_charge,year built,building registration type,preferred tennant,interior,garage size,front road size,common area,bedrooms,bathrooms,location,country
https://rents.com.bd/property/brand-new-2400-sq-ft-apartment-now-vacant-for-rent-in-banani-2/,Brand New 2400 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2400 Sq Ft,01,01,3rd & 5th Floor Available,"BDT 110,000/-", Not fixed yet.,2023, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,16 Ft.,220 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/3600-sq-ft-nice-office-space-is-up-for-rent-at-banani/,3600 Sq Ft Nice Office Space Is Up For Rent At Banani,Office Space,3600 Sq. Ft.,02 car parking,01,Ground floor," BDT 260,000/-","BDT 20,000/- ",2000, Residential,Corporate Office or MNC Office,Un-Furnished,240 Sq Ft., 40 Ft.,250 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/uniquely-designed-2100-sq-ft-flat-is-up-for-rent-in-gulshan/,Uniquely Designed 2100 Sq Ft Flat Is Up For Rent In Gulshan,Residential Apartment,2100 Sq Ft,01,02,5th Floor Available,"BDT 110,000/-"," BDT 7,000/-",2012, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,16 Ft.,180 Sq Ft,03 Bedrooms,03 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/brand-new-lovely-apartment-of-2430-sq-ft-is-up-for-rent-in-banani/,Brand New Lovely Apartment Of 2430 Sq Ft Is Up For Rent In Banani,Residential Apartment,2430 Sq Ft,01,02,7th Floor Available,"BDT 130,000/-"," BDT 10,000/-",2023, Residential, Foreigner, Un-Furnished,120 Sq. Ft.,16 Ft.,180 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/2900-sq-ft-brand-new-apartment-is-vacant-for-rent-in-gulshan/,2900 SQ FT Brand New Apartment Is Vacant For Rent In Gulshan,Residential Apartment,2900 Sq Ft,02,02,11th Floor,"BDT 180,000/-"," BDT 15,000/-",2023, Residential, Foreigner, Un-Furnished,240 Sq. Ft.,24 Ft.,250 Sq Ft,03 Bedrooms,04 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-4888-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,Spaciously Designed And Strongly Structured This 4888 Sq. Ft Commercial Space Now Vacant For Rent In Gulshan Avenue,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,4888 Sq Ft.,02 Car Parking,03,3rd  floor," BDT 782,080/- (BDT 160/- Per Sq. Ft.)","BDT 48,880/- (BDT 10/- Per Sq. Ft.)",2018, Commercial,Corporate Office or MNC Office,Un-Furnished,240 Sq. Ft., 50 Ft.,250 Sq Ft,,,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/excellent-brand-new-commercial-space-of-28000-sq-ft-is-up-for-rent-in-the-fine-location-of-gulshan-avenue/,Excellent Brand New Commercial Space Of 28000 Sq Ft Is Up For Rent In The Fine Location Of Gulshan Avenue,"Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price, Office Space",28000 Sq Ft,38 Car Parking, 03,"9th, 10th, 11th, 12th, 13th, 14th & 15th floor (per floor 4000 Sq Ft)."," BDT 44,80,000/- (BDT 160/- per Sq Ft.)"," BDT 280,000/- (BDT 10/- per Sq Ft.)",2022, Commercial, Corporate Office or MNC Offices,Un-Furnished,4560 Sq Ft., 50 Ft, 2700 Sq Ft,,,"Gulshan Avenue, Dhaka 1212",Bangladesh
https://rents.com.bd/property/well-built-and-properly-designed-individual-house-of-5000-sq-ft-available-now-for-rent-in-baridhara-diplomatic-zone/,Well Built And Properly Designed Individual House of 5000 SQ FT Available Now For Rent In Baridhara Diplomatic Zone,Residential Apartment,5000 Sq Ft,03 Car Parking,N/A,Individual House,"BDT 450,000/-", At Actual,1990, Residential, Foreigner, Un-Furnished,360 Sq Ft,24 Ft,450 Sq Ft,05 Bedrooms,05 Bathrooms,"Baridhara Diplomatic Zone, Dhaka 1212",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-13500-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,Spaciously Designed And Strongly Structured This 13500 Sq. Ft. Commercial Space Now Vacant For Rent In Gulshan Avenue,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,13500 Sq Ft.,06 Car Parking,02,4th & 6th floor," BDT 20,25,000/- (BDT 150/- Per Sq. Ft.)","BDT 135,000/- (BDT 10/- Per Sq. Ft)",2010, Commercial,Corporate Office or MNC Office,Un-Furnished,720 Sq Ft., 60 Ft.,1450 Sq Ft,,,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/2200-sq-ft-restaurent-space-available-for-rent/,2200 Sq Ft Restaurent space Available for rent,"Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price, Restaurants Space",,,,," 
	                ",,,,,,,,,,,"Banani, Gulshan, Dhaka, Chanpara Bazar, Dhaka District, Dhaka Division, 1230, Bangladesh",Bangladesh
